session_id,user_id,charger_id,start_time,end_time,cpu_percent,packets_per_sec,memory_percent,energy_kwh,payment_amount,mac_address,session_duration_min,billing_flag,multi_user_flag,session_hijack_flag,anomaly_type,start_hour
S0,U28,C3,2025-09-27 19:30:00,2025-09-27 20:38:00,0.04,58,0.24,29.83,298.3,MAC_28,68.0,0,0,0,None,19
S1,U4,C10,2025-09-27 19:42:00,2025-09-27 20:21:00,0.07,33,0.16,15.6,156.0,MAC_4,39.0,0,0,0,None,19
S2,U41,C17,2025-09-27 20:06:00,2025-09-27 20:22:00,0.05,45,0.29,6.72,67.2,MAC_41,16.0,0,0,0,None,20
S3,U18,C1,2025-09-27 20:23:00,2025-09-27 21:03:00,0.04,43,0.22,18.0,180.0,MAC_18,40.0,0,0,0,None,20
S4,U4,C13,2025-09-27 20:30:00,2025-09-27 21:56:00,0.03,51,0.21,41.4,414.0,MAC_4,86.0,0,0,0,None,20
S5,U2,C17,2025-09-27 20:41:00,2025-09-27 21:54:00,0.04,53,0.18,34.48,344.8,MAC_2,73.0,0,0,0,None,20
S6,U19,C8,2025-09-27 21:04:00,2025-09-27 22:21:00,0.03,45,0.28,37.15,371.5,MAC_19,77.0,0,0,0,None,21
S7,U42,C13,2025-09-27 21:12:00,2025-09-27 21:30:00,0.07,31,0.28,8.28,82.8,MAC_42,18.0,0,0,0,None,21
S8,U15,C18,2025-09-27 21:31:00,2025-09-27 22:04:00,0.04,41,0.21,14.85,148.5,MAC_15,33.0,0,0,0,None,21
S9,U42,C16,2025-09-27 21:53:00,2025-09-27 23:22:00,0.05,51,0.23,43.23,432.3,MAC_42,89.0,0,0,0,None,21
S10,U19,C15,2025-09-27 22:07:00,2025-09-27 23:02:00,0.06,42,0.16,25.92,259.2,MAC_19,55.0,0,0,0,None,22
S11,U31,C14,2025-09-27 22:15:00,2025-09-27 22:33:00,0.06,49,0.28,8.46,84.6,MAC_31,18.0,0,0,0,None,22
S12,U24,C13,2025-09-27 22:32:00,2025-09-27 23:45:00,0.04,39,0.19,34.96,349.6,MAC_24,73.0,0,0,0,None,22
S13,U27,C14,2025-09-27 22:45:00,2025-09-27 23:43:00,0.98,488,0.78,27.28,272.8,MAC_27,58.0,0,0,1,DoS,22
S14,U3,C8,2025-09-27 22:58:00,2025-09-28 00:08:00,0.07,52,0.2,33.6,336.0,MAC_3,70.0,0,0,0,None,22
S15,U46,C16,2025-09-27 23:18:00,2025-09-28 00:39:00,0.06,56,0.29,38.77,387.7,MAC_46,81.0,0,0,0,None,23
S16,U43,C13,2025-09-27 23:37:00,2025-09-28 00:54:00,0.04,50,0.18,36.95,369.5,MAC_43,77.0,0,0,0,None,23
S17,U3,C16,2025-09-27 23:45:00,2025-09-28 00:50:00,0.04,40,0.28,29.25,292.5,MAC_3,65.0,0,0,0,None,23
S18,U23,C10,2025-09-27 23:56:00,2025-09-28 01:21:00,0.05,53,0.19,41.25,412.5,MAC_23,85.0,0,0,0,None,23
S19,U13,C19,2025-09-28 00:13:00,2025-09-28 00:54:00,0.05,40,0.26,19.27,192.7,MAC_13,41.0,0,0,0,None,0
S20,U15,C8,2025-09-28 00:27:00,2025-09-28 01:41:00,0.05,57,0.26,35.72,357.2,MAC_15,74.0,0,0,0,None,0
S21,U21,C17,2025-09-28 00:46:00,2025-09-28 02:07:00,0.04,39,0.18,38.77,387.7,MAC_21,81.0,0,0,0,None,0
S22,U30,C2,2025-09-28 01:05:00,2025-09-28 01:31:00,0.06,44,0.19,12.22,122.2,MAC_30,26.0,0,0,0,None,1
S23,U17,C16,2025-09-28 01:21:00,2025-09-28 02:26:00,0.04,49,0.29,31.05,310.5,MAC_17,65.0,0,0,0,None,1
S24,U26,C13,2025-09-28 01:33:00,2025-09-28 02:23:00,0.05,58,0.24,23.5,235.0,MAC_26,50.0,0,0,0,None,1
S25,U39,C15,2025-09-28 01:45:00,2025-09-28 02:26:00,0.05,42,0.15,19.27,192.7,MAC_39,41.0,0,0,0,None,1
S26,U25,C19,2025-09-28 02:02:00,2025-09-28 02:51:00,0.03,36,0.15,23.52,235.2,MAC_25,49.0,0,0,0,None,2
S27,U23,C10,2025-09-28 02:18:00,2025-09-28 03:22:00,0.06,35,0.25,30.08,300.8,MAC_23,64.0,0,0,0,None,2
S28,U43,C13,2025-09-28 02:29:00,2025-09-28 03:04:00,0.07,43,0.15,16.45,164.5,MAC_43,35.0,0,0,0,None,2
S29,U3,C16,2025-09-28 02:51:00,2025-09-28 04:19:00,0.07,57,0.19,42.4,424.0,MAC_3,88.0,0,0,0,None,2
S30,U46,C12,2025-09-28 03:02:00,2025-09-28 04:11:00,0.04,46,0.17,33.12,331.2,MAC_46,69.0,0,0,0,None,3
S31,U41,C13,2025-09-28 03:26:00,2025-09-28 04:55:00,0.04,38,0.2,43.23,432.3,MAC_41,89.0,0,0,0,None,3
S32,U20,C12,2025-09-28 03:38:00,2025-09-28 04:21:00,0.04,43,0.26,20.65,206.5,MAC_20,43.0,0,0,0,None,3
S33,U15,C4,2025-09-28 03:55:00,2025-09-28 04:52:00,0.07,59,0.21,27.36,273.6,MAC_15,57.0,0,0,0,None,3
S34,U17,C15,2025-09-28 04:06:00,2025-09-28 05:07:00,0.03,50,0.24,28.88,288.8,MAC_17,61.0,0,0,0,None,4
S35,U13,C18,2025-09-28 04:22:00,2025-09-28 04:55:00,0.04,50,0.22,15.37,153.7,MAC_13,33.0,0,0,0,None,4
S36,U37,C11,2025-09-28 04:41:00,2025-09-28 05:46:00,0.05,53,0.27,31.05,310.5,MAC_37,65.0,0,0,0,None,4
S37,U45,C19,2025-09-28 05:05:00,2025-09-28 06:21:00,0.07,37,0.25,36.48,364.8,MAC_45,76.0,0,0,0,None,5
S38,U26,C1,2025-09-28 05:15:00,2025-09-28 06:18:00,0.07,31,0.27,29.76,297.6,MAC_26,63.0,0,0,0,None,5
S39,U22,C11,2025-09-28 05:27:00,2025-09-28 06:24:00,0.05,56,0.24,27.36,273.6,MAC_22,57.0,0,0,0,None,5
S40,U29,C15,2025-09-28 05:37:00,2025-09-28 06:01:00,0.04,49,0.18,11.28,112.8,MAC_29,24.0,0,0,0,None,5
S41,U48,C1,2025-09-28 05:54:00,2025-09-28 06:17:00,0.07,45,0.15,10.81,108.1,MAC_48,23.0,0,0,0,None,5
S42,U30,C12,2025-09-28 06:06:00,2025-09-28 06:29:00,0.07,43,0.18,10.81,108.1,MAC_30,23.0,0,0,0,None,6
S43,U40,C1,2025-09-28 06:20:00,2025-09-28 07:11:00,0.06,47,0.25,24.48,244.8,MAC_40,51.0,0,0,0,None,6
S44,U2,C12,2025-09-28 06:36:00,2025-09-28 08:00:00,0.04,36,0.17,40.32,403.2,MAC_2,84.0,0,0,0,None,6
S45,U23,C13,2025-09-28 06:48:00,2025-09-28 07:03:00,0.06,45,0.21,6.75,67.5,MAC_23,15.0,0,0,0,None,6
S46,U19,C19,2025-09-28 07:05:00,2025-09-28 07:22:00,0.06,58,0.19,7.65,76.5,MAC_19,17.0,0,0,0,None,7
S47,U49,C3,2025-09-28 07:15:00,2025-09-28 08:35:00,0.07,51,0.22,38.4,384.0,MAC_49,80.0,0,0,0,None,7
S48,U29,C7,2025-09-28 07:25:00,2025-09-28 08:44:00,0.04,32,0.27,37.92,379.2,MAC_29,79.0,0,0,0,None,7
S49,U1,C14,2025-09-28 07:37:00,2025-09-28 08:34:00,0.05,53,0.17,26.79,267.9,MAC_1,57.0,0,0,0,None,7
S50,U15,C18,2025-09-28 07:54:00,2025-09-28 08:14:00,0.04,33,0.2,9.0,90.0,MAC_15,20.0,0,0,0,None,7
S51,U23,C19,2025-09-28 08:08:00,2025-09-28 09:20:00,0.04,35,0.22,34.56,345.6,MAC_23,72.0,0,0,0,None,8
S52,U24,C11,2025-09-28 08:29:00,2025-09-28 09:50:00,0.04,49,0.21,38.77,387.7,MAC_24,81.0,0,0,0,None,8
S53,U33,C13,2025-09-28 08:50:00,2025-09-28 10:11:00,0.04,50,0.25,38.77,387.7,MAC_33,81.0,0,0,0,None,8
S54,U11,C2,2025-09-28 09:02:00,2025-09-28 09:25:00,0.05,43,0.21,10.81,108.1,MAC_11,23.0,0,0,0,None,9
S55,U15,C10,2025-09-28 09:23:00,2025-09-28 10:13:00,0.06,53,0.23,23.5,235.0,MAC_15,50.0,0,0,0,None,9
S56,U19,C15,2025-09-28 09:37:00,2025-09-28 10:35:00,0.07,31,0.26,27.84,278.4,MAC_19,58.0,0,0,0,None,9
S57,U2,C17,2025-09-28 09:50:00,2025-09-28 11:02:00,0.06,47,0.18,34.56,345.6,MAC_2,72.0,0,0,0,None,9
S58,U2,C19,2025-09-28 10:13:00,2025-09-28 10:44:00,0.04,45,0.2,14.57,145.7,MAC_2,31.0,0,0,0,None,10
S59,U26,C13,2025-09-28 10:23:00,2025-09-28 11:06:00,0.06,46,0.18,20.65,206.5,MAC_26,43.0,0,0,0,None,10
S60,U31,C2,2025-09-28 10:35:00,2025-09-28 11:32:00,0.03,40,0.24,27.36,273.6,MAC_31,57.0,0,0,0,None,10
S61,U29,C1,2025-09-28 10:49:00,2025-09-28 11:13:00,0.06,50,0.26,11.28,112.8,MAC_29,24.0,0,0,0,None,10
S62,U47,C5,2025-09-28 11:09:00,2025-09-28 12:00:00,0.06,57,0.2,24.48,244.8,MAC_47,51.0,0,0,0,None,11
S63,U27,C16,2025-09-28 11:24:00,2025-09-28 11:53:00,0.07,51,0.21,13.63,136.3,MAC_27,29.0,0,0,0,None,11
S64,U38,C16,2025-09-28 11:36:00,2025-09-28 12:49:00,0.06,41,0.26,34.48,344.8,MAC_38,73.0,0,0,0,None,11
S65,U42,C11,2025-09-28 11:51:00,2025-09-28 12:12:00,0.05,44,0.18,9.45,94.5,MAC_42,21.0,0,0,0,None,11
S66,U37,C19,2025-09-28 12:07:00,2025-09-28 12:35:00,0.06,53,0.16,13.2,132.0,MAC_37,28.0,0,0,0,None,12
S67,U33,C13,2025-09-28 12:19:00,2025-09-28 13:08:00,0.03,34,0.15,23.52,235.2,MAC_33,49.0,0,0,0,None,12
S68,U15,C4,2025-09-28 12:33:00,2025-09-28 13:30:00,0.07,45,0.26,27.36,273.6,MAC_15,57.0,0,0,0,None,12
S69,U26,C13,2025-09-28 12:43:00,2025-09-28 13:58:00,0.06,31,0.15,35.51,355.1,MAC_26,75.0,0,0,0,None,12
S70,U16,C16,2025-09-28 12:56:00,2025-09-28 13:21:00,0.04,41,0.24,11.5,115.0,MAC_16,25.0,0,0,0,None,12
S71,U12,C10,2025-09-28 13:09:00,2025-09-28 14:04:00,0.05,43,0.15,25.92,259.2,MAC_12,55.0,0,0,0,None,13
S72,U24,C11,2025-09-28 13:22:00,2025-09-28 14:35:00,0.05,43,0.18,34.48,344.8,MAC_24,73.0,0,0,0,None,13
S73,U36,C18,2025-09-28 13:36:00,2025-09-28 14:00:00,0.06,45,0.16,11.28,112.8,MAC_36,24.0,0,0,0,None,13
S74,U11,C2,2025-09-28 13:46:00,2025-09-28 14:38:00,0.03,49,0.23,24.45,244.5,MAC_11,52.0,0,0,0,None,13
S75,U15,C1,2025-09-28 14:05:00,2025-09-28 15:23:00,0.04,40,0.16,37.44,374.4,MAC_15,78.0,0,0,0,None,14
S76,U2,C18,2025-09-28 14:27:00,2025-09-28 14:55:00,0.04,41,0.19,13.2,132.0,MAC_2,28.0,0,0,0,None,14
S77,U21,C13,2025-09-28 14:37:00,2025-09-28 15:02:00,0.03,32,0.15,11.75,117.5,MAC_21,25.0,0,0,0,None,14
S78,U30,C12,2025-09-28 14:50:00,2025-09-28 15:58:00,0.03,48,0.27,32.17,321.7,MAC_30,68.0,0,0,0,None,14
S79,U34,C12,2025-09-28 15:00:00,2025-09-28 15:22:00,0.05,48,0.26,9.9,99.0,MAC_34,22.0,0,0,0,None,15
S80,U15,C10,2025-09-28 15:10:00,2025-09-28 15:53:00,0.04,39,0.22,20.65,206.5,MAC_15,43.0,0,0,0,None,15
S81,U19,C15,2025-09-28 15:24:00,2025-09-28 15:50:00,0.07,44,0.23,12.22,122.2,MAC_19,26.0,0,0,0,None,15
S82,U42,C16,2025-09-28 15:43:00,2025-09-28 16:11:00,0.06,42,0.21,13.2,132.0,MAC_42,28.0,0,0,0,None,15
S83,U12,C1,2025-09-28 15:53:00,2025-09-28 16:59:00,0.04,50,0.15,31.2,312.0,MAC_12,66.0,0,0,0,None,15
S84,U38,C7,2025-09-28 16:03:00,2025-09-28 16:51:00,0.06,58,0.28,22.56,225.6,MAC_38,48.0,0,0,0,None,16
S85,U39,C6,2025-09-28 16:20:00,2025-09-28 17:10:00,0.07,46,0.15,23.5,235.0,MAC_39,50.0,0,0,0,None,16
S86,U19,C8,2025-09-28 16:32:00,2025-09-28 17:09:00,0.04,38,0.18,17.39,173.9,MAC_19,37.0,0,0,0,None,16
S87,U2,C17,2025-09-28 16:47:00,2025-09-28 17:11:00,0.03,50,0.16,11.28,112.8,MAC_2,24.0,0,0,0,None,16
S88,U4,C13,2025-09-28 17:09:00,2025-09-28 18:37:00,0.07,31,0.26,42.4,424.0,MAC_4,88.0,0,0,0,None,17
